NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SEC61A1	82	204.19058227539062	0.017019033	Yes	
row_1	ATP6V0A4	182	102.64530944824219	0.03333544	Yes	
row_2	ATP6V1B2	886	14.264290809631348	0.024688015	Yes	
row_3	ATP6V1G1	1187	9.05343246459961	0.03269692	Yes	
row_4	PRKACB	1282	7.740646839141846	0.049219985	Yes	
row_5	PDIA4	1496	5.882967948913574	0.060824677	Yes	
row_6	ATP6V0E1	1566	5.3844122886657715	0.07838101	Yes	
row_7	ATP6V1C1	1778	4.015355110168457	0.09006836	Yes	
row_8	ATP6V1A	1900	3.4608354568481445	0.10547549	Yes	
row_9	ATP6AP1	2549	1.8158705234527588	0.09910127	Yes	
row_10	PLCG1	2563	1.8002305030822754	0.11897213	Yes	
row_11	ATP6V0A2	2778	1.4390901327133179	0.13053548	Yes	
row_12	ATP6V1D	2926	1.2570927143096924	0.14486802	Yes	
row_13	SEC61A2	3276	0.9548403024673462	0.15085171	Yes	
row_14	ATP6V1E1	3616	0.7668784856796265	0.15724872	Yes	
row_15	SEC61B	3643	0.7518943548202515	0.17658228	Yes	
row_16	ATP6V0D1	4008	0.5744492411613464	0.18194601	Yes	
row_17	PRKX	4195	0.4977114498615265	0.19466664	Yes	
row_18	ATP6V1H	4219	0.49018555879592896	0.21412419	Yes	
row_19	ATP6V0C	4380	0.43494337797164917	0.22791941	Yes	
row_20	PRKACA	4492	0.40542078018188477	0.24373986	Yes	
row_21	PLCG2	4773	0.3357473313808441	0.25257537	Yes	
row_22	PRKCG	6317	0.11451797932386398	0.20921004	No	
row_23	ARF1	6910	0.07491836696863174	0.20515034	No	
row_24	ATP6V1F	7175	0.061251234263181686	0.21464714	No	
row_25	ADCY9	7708	0.038567423820495605	0.21306731	No	
row_26	KDELR2	8625	0.016000675037503242	0.19561641	No	
row_27	GNAS	9534	0.0041232542134821415	0.17849615	No	
row_28	ATP6V1C2	9580	0.0037312014028429985	0.19704443	No	
row_29	KDELR1	10438	3.112079866696149E-4	0.18203205	No	
row_30	TCIRG1	11620	-7.201842963695526E-4	0.15362848	No	
row_31	TJP1	12526	-0.006033339537680149	0.13663222	No	
row_32	ATP6V1G2	13087	-0.012180712074041367	0.1338951	No	
row_33	ATP6V0E2	13816	-0.024580765515565872	0.12421441	No	
row_34	ATP6V0B	14755	-0.052430324256420135	0.105854236	No	
row_35	ACTB	15322	-0.07504110038280487	0.10286913	No	
row_36	MUC2	17453	-0.23635336756706238	0.035242584	No	
row_37	ERO1A	17485	-0.24093499779701233	0.054369487	No	
row_38	PRKCA	17946	-0.30011528730392456	0.055765457	No	
row_39	SEC61G	18397	-0.37659063935279846	0.057574738	No	
row_40	ACTG1	18681	-0.43040210008621216	0.06628627	No	
row_41	ATP6V0A1	18713	-0.43774843215942383	0.08541318	No	
row_42	ADCY3	19536	-0.6793410778045654	0.07184738	No	
row_43	PRKCB	19900	-0.8237526416778564	0.07725244	No	
row_44	KCNQ1	19913	-0.8267277479171753	0.09716464	No	
row_45	TJP2	20206	-0.9582833647727966	0.10550419	No	
row_46	SLC12A2	22198	-3.8476476669311523	0.043622628	No	
row_47	KDELR3	23749	-36.75516891479492	-3.2029682E-5	No	
row_48	ATP6V1E2	24149	-143.9922637939453	0.0038851234	No	
